,name,date,platform,publisher,developer,shipped,total,america,europe,japan,other,vgc,critic,user,percent
10362,Beyblade G-Revolution,2004-11-18,GBA,Atari,Full Fat,,0.2,0.15,0.05,,0.0,,2.4,,24
10369,World Championship Cards,2008-05-27,PSP,Crave Entertainment,Crave Entertainment,,0.2,0.19,,,0.02,,3.9,,39
10370,Code of Princess,2012-10-09,3DS,Atlus,Studio Saizensen,,0.2,0.16,,0.03,0.02,8.2,7.2,,72
10376,Thrillville,2006-11-21,PSP,LucasArts,Frontier Developments,,0.2,0.18,0.0,,0.02,,7.4,,74
10385,Phantasy Star Online,2001-01-29,DC,Sega,Sonic Team,,0.2,,,0.2,,,8.9,,89
10392,Kung Fu Rider,2010-09-17,PS3,Sony Computer Entertainment,SCE Japan Studio,,0.2,0.06,0.1,0.01,0.04,,4.3,,43
10400,Hard West,,PC,Unknown,CreativeForge Games,0.2,0.2,,,,,,6.4,,64
10410,Enchanted Arms,2007-04-03,PS3,Ubisoft,From Software,,0.2,0.17,0.01,,0.02,,5.9,,59
10432,Dark Messiah of Might and Magic Elements,2008-02-12,X360,Ubisoft,Arkane Studios / Floodgate Entertainment / Kuju Entertainment,,0.2,0.16,0.02,0.01,0.02,,5.0,,50
10434,Shaun White Skateboarding,2010-10-24,PS3,Ubisoft,Ubisoft Montreal,,0.2,0.12,0.05,,0.03,,6.6,,66
10436,Harvest Moon: More Friends of Mineral Town,2005-07-26,GBA,Natsume,TOSE Software,,0.2,0.14,0.05,,0.0,,8.0,,80
10437,Infinite Space,2010-03-16,DS,Sega,PlatinumGames / Nude Maker,,0.2,0.06,0.05,0.07,0.01,,7.2,,72
10440,DanceMasters,2010-11-04,X360,Konami,GCP1,,0.2,0.15,0.02,0.02,0.01,,6.2,,62
10444,DarkStar One: Broken Alliance,2010-07-20,X360,Kalypso,Gaming Minds Studios,,0.2,0.11,0.07,,0.02,,6.4,,64
10446,X2: Wolverine's Revenge,2003-04-15,GBA,Activision,Vicarious Visions,,0.2,0.14,0.05,,0.0,,7.7,,77
10450,Dragon Ball: Revenge of King Piccolo,2009-10-20,Wii,Namco Bandai,Bandai Namco Games,,0.2,0.12,0.03,0.03,0.02,,6.1,8.0,61
10452,Spy Hunter,2002-03-11,GC,Midway Games,Point of View,,0.2,0.16,0.04,,0.01,,7.9,,79
10455,Ogre Battle Saga Episode Five: The March of the Black Queen,1997-07-31,PS,Atlus,Quest Corporation,,0.2,0.06,0.04,0.09,0.01,,7.6,,76
10459,Body and Brain Connection,2011-02-08,X360,Namco Bandai,Namco Bandai Games,,0.2,0.1,0.08,,0.02,,6.0,,60
10465,Ty the Tasmanian Tiger 2: Bush Rescue,2004-10-12,GC,Electronic Arts,Krome Studios,,0.2,0.15,0.04,,0.01,,7.4,,74
10472,Clive Barker's Jericho,2007-10-23,PS3,Codemasters,Mercury Steam / Alchemic Productions,,0.2,0.17,0.01,,0.02,,5.8,,58
10473,Warriors Orochi,2008-03-25,PSP,KOEI,Omega Force / Koei Canada,,0.2,0.02,0.0,0.18,0.0,,6.4,,64
10475,Earth Defense Force: Insect Armageddon,2011-07-05,PS3,D3 Publisher,Vicious Cycle,,0.2,0.06,0.04,0.08,0.02,,6.6,,66
10477,NBA 07,2006-09-25,PSP,Sony Computer Entertainment,SCE San Diego Studio,,0.2,0.18,,,0.02,,6.9,,69
10479,Age of Wonders,1999-10-31,PC,Gathering of Developers,Triumph Studios,0.2,0.2,,,,,,8.4,,84
10482,Aquanaut's Holiday,1995-06-29,PS,Sony Computer Entertainment,ArtDink,0.2,0.2,,,,,,8.0,,80
10494,Disgaea 5 Complete,2017-05-23,NS,NIS America,Nippon Ichi Software,0.2,0.2,,,,,,9.0,,90
10505,Gothic,2001-11-23,PC,Xicat Interactive,Piranha Bytes,0.2,0.2,,,,,,8.1,,81
10506,Gothic II,2003-10-28,PC,Atari,Piranha Bytes,0.2,0.2,,,,,,8.0,,80
10510,Jane's Combat Simulations: 688(I) Hunter/Killer,1997-06-30,PC,Electronic Arts,Sonalysts,0.2,0.2,,,,,,8.8,,88
10523,Phantasy Star Universe,2006-10-24,PS2,Sega,Sonic Team,0.2,0.2,,,,,,6.4,,64
10525,Rise of Nightmares,2011-09-06,X360,Sega,Sega,0.2,0.2,,,,,4.2,5.5,,55
10526,Roadsters 99,1999-11-30,N64,Titus,Unknown,,0.2,0.06,0.13,,0.01,,6.4,,64
10530,Snowboard Kids,1997-01-01,N64,Atlus,Racdym,,0.2,0.16,0.04,,0.0,,8.0,,80
10534,Tigger's Honey Hunt,2000-11-01,N64,NewKidCo,Rivage Games,,0.2,0.16,0.04,,0.0,,7.3,,73
10549,Sid Meier's Pirates!,2007-01-22,PSP,2K Games,Full Fat,,0.2,0.16,0.01,,0.02,,8.5,,85
10561,Sleeping Dogs: Definitive Edition,2014-10-14,XOne,Square Enix,United Front Games,,0.2,0.1,0.09,,0.02,,7.5,,75
10562,Project CARS 2,2017-09-22,XOne,Namco Bandai Games,Slightly Mad Studios,,0.2,0.01,0.18,,0.01,,9.2,,92
10574,Record of Agarest War,2010-04-27,X360,Aksys Games,Compile Heart,,0.2,0.18,,0.01,0.01,,7.0,,70
10575,Ridge Racer 6,2005-11-17,X360,Namco,Namco,,0.2,0.1,0.02,0.07,0.01,,7.9,,79
10577,Grandia II,2000-12-06,DC,Ubisoft,Game Arts,,0.2,,,0.2,0.0,,8.6,,86
10580,Classic NES Series: Ice Climber,2004-06-02,GBA,Nintendo,Nintendo,,0.2,,,0.2,,,6.1,,61
10584,NFL Street 2,2004-12-22,GC,EA Sports BIG,EA Tiburon,,0.2,0.15,0.04,,0.01,,8.2,,82
10594,Dante's Inferno,2010-03-02,PSP,Electronic Arts,Visceral Games,,0.2,0.12,0.04,0.01,0.02,7.0,6.6,,66
10596,Arcana Heart 3,2014-09-23,PS3,Aksys Games,Examu Inc.,,0.2,0.04,0.05,0.1,0.02,,7.0,,70
10602,Afro Samurai,2009-01-27,PS3,Namco Bandai,Namco Bandai Games,,0.2,0.12,0.05,,0.03,5.7,6.5,,65
10604,Taiko Drum Master,2004-10-26,PS2,Namco,Namco,,0.2,0.1,0.08,,0.03,,8.1,,81
10605,Bust-A-Move 2 Arcade Edition,1996-03-29,PS,Acclaim Entertainment,Taito Corporation,,0.2,0.11,0.07,,0.01,,6.9,,69
10607,Solatorobo: Red the Hunter,2011-09-27,DS,Xseed Games,CyberConnect2,,0.2,0.08,0.04,0.07,0.01,,7.6,,76
10614,Puzzle Challenge: Crosswords and More!,2006-06-09,PSP,Crave Entertainment,Supersonic Software,,0.2,0.18,,,0.01,,6.4,,64
10616,Backyard Hockey,2003-10-09,GBA,Atari,Mistic Software,,0.2,0.14,0.05,,0.0,,6.0,,60
10623,Tom Clancy's Splinter Cell: Essentials,2006-03-21,PSP,Ubisoft,Ubisoft Montreal,,0.2,0.17,0.01,,0.02,,5.6,,56
10626,Captain America: Super Soldier,2011-07-19,PS3,Sega,Next Level Games,,0.2,0.1,0.07,,0.03,,6.2,,62
10628,Tiger Woods PGA Tour 06,2005-09-26,PSP,EA Sports,EA Sports,,0.2,0.18,,,0.01,,8.0,,80
10629,Ratatouille,2007-06-26,GBA,THQ,Helixe,,0.2,0.14,0.05,,0.0,,6.8,,68
10631,Armored Core 4,2007-03-20,PS3,Sega,From Software,,0.2,0.09,0.0,0.09,0.01,,6.6,,66
10633,Baja: Edge of Control,2008-09-22,X360,THQ,2XL Games,,0.2,0.12,0.06,,0.02,,5.0,,50
10634,MC Groovz Dance Craze,2004-11-22,GC,Mad Catz,Mad Catz,,0.2,0.15,0.04,,0.01,,2.5,,25
10635,No More Heroes: Heroes' Paradise,2011-08-16,PS3,Konami,FeelPlus,,0.2,0.1,0.04,0.04,0.02,7.6,7.4,,74
10646,Prince of Persia: Warrior Within,2004-11-30,GC,Ubisoft,Ubisoft Montreal,,0.2,0.15,0.04,,0.01,,8.2,,82
10657,X-Men Origins: Wolverine,2009-05-01,PSP,Activision,Amaze Entertainment,,0.2,0.13,0.04,,0.03,,5.4,,54
10658,NHL FaceOff 2001,2001-02-05,PS2,Sony Computer Entertainment,989 Sports,,0.2,0.1,0.07,,0.02,,4.6,,46
10659,Mana Khemia 2: Fall of Alchemy,2009-08-25,PS2,NIS America,Gust,,0.2,0.07,0.05,0.05,0.02,7.5,8.2,,82
10661,Dead or Alive Paradise,2010-03-30,PSP,Tecmo,Team Ninja,,0.2,0.08,0.02,0.07,0.02,3.7,4.5,,45
10668,The Hobbit,2003-11-11,GBA,Sierra Entertainment,Saffire Corporation,,0.19,0.14,0.05,,0.0,,6.5,,65
10672,Harry Potter and the Goblet of Fire,2005-11-15,PSP,Electronic Arts,Electronic Arts,,0.19,0.17,0.0,,0.02,,7.2,,72
10674,Family Guy,2006-10-16,PSP,2K Games,High Voltage Software,,0.19,0.18,0.0,,0.02,,5.5,,55
10677,Pac-Man & Galaga Dimensions,2011-07-26,3DS,Namco Bandai,Namco Bandai Games,,0.19,0.1,0.04,0.04,0.01,,5.7,,57
10678,Valkyria Chronicles 4,2018-09-25,NS,Sega,Sega,,0.19,0.12,0.04,0.02,0.02,,8.6,,86
10681,Spectrobes: Origins,2009-08-18,Wii,Disney Interactive Studios,Genki,,0.19,0.16,0.02,,0.01,,7.4,,74
10687,Breath of Fire II,2002-04-16,GBA,Capcom,Capcom,,0.19,0.14,0.05,,0.0,,8.6,,86
10690,Conan,2007-10-23,X360,THQ,Nihilistic Software,,0.19,0.16,0.02,,0.01,,7.1,,71
10691,Ice Age 2: The Meltdown,2006-03-14,GC,Vivendi Games,Eurocom Entertainment Software,,0.19,0.15,0.04,,0.01,,7.4,,74
10694,Dinotopia: The Timestone Pirates,2002-04-30,GBA,TDK Core,TDK Mediactive,,0.19,0.14,0.05,,0.0,,6.1,,61
10697,Rise of the Argonauts,2008-12-16,PS3,Codemasters,Codemasters,,0.19,0.05,0.12,,0.03,,5.3,,53
10698,Peter Jackson's King Kong: The Official Game of the Movie,2005-12-20,PSP,Ubisoft,Phoenix Games Studio,,0.19,0.16,0.01,,0.02,,6.0,,60
10708,Manhunt,2004-04-20,XB,Rockstar Games,Rockstar North,,0.19,0.14,0.04,,0.01,,7.7,,77
10710,Dynasty Warriors: Gundam 2,2009-04-21,X360,Namco Bandai,Omega Force,,0.19,0.07,0.03,0.08,0.01,6.4,5.6,,56
10725,Shiren the Wanderer,2010-02-09,Wii,Atlus,ChunSoft,,0.19,0.08,,0.11,0.01,,7.4,,74
10726,Breath of Fire: Dragon Quarter,2003-02-16,PS2,Capcom,Capcom,,0.19,0.09,0.07,,0.02,,7.6,,76
10727,Spore Hero Arena,2009-10-06,DS,Electronic Arts,Maxis,,0.19,0.18,0.0,,0.01,,4.9,,49
10732,Space Invaders Extreme 2,2009-10-20,DS,Taito,Taito Corporation,,0.19,0.17,0.01,0.0,0.01,,8.1,,81
10736,Conflict: Denied Ops,2008-02-12,X360,Eidos Interactive,Pivotal Games,,0.19,0.08,0.09,,0.02,,5.3,,53
10737,Enchanted Arms,2006-08-29,X360,Ubisoft,From Software,,0.19,0.16,0.02,,0.01,,6.9,,69
10738,Test Drive Unlimited 2,2011-02-08,PC,Atari,Eden Studios,,0.19,0.05,0.11,,0.03,,6.7,,67
10739,SpongeBob SquigglePants 3D,2011-05-17,3DS,THQ,WayForward Technologies,,0.19,0.13,0.05,,0.02,,6.1,,61
10743,Disney's Magical Mirror Starring Mickey Mouse,2002-08-13,GC,Nintendo,Capcom,,0.19,0.15,0.04,,0.01,,4.0,,40
10744,Dawn of Discovery,2009-06-23,Wii,Ubisoft,Sunflowers Interactive,,0.19,0.12,0.06,,0.01,7.8,7.9,,79
10748,Final Fantasy XI: Online,2006-04-18,X360,Square Enix,Square Enix,,0.19,0.17,0.01,,0.01,,6.7,,67
10756,Majin and the Forsaken Kingdom,2010-11-30,X360,Namco Bandai,Game Republic,,0.19,0.14,0.03,0.0,0.01,,7.0,,70
10759,Dave Mirra Freestyle BMX 2,2001-11-25,GBA,Acclaim Entertainment,Full Fat,,0.19,0.14,0.05,,0.0,,8.0,,80
10767,Allied General,1996-09-30,PS,SSI,SSI,,0.19,0.11,0.07,,0.01,,6.3,,63
10769,Fire ProWrestling G,1999-06-24,PS,Human Entertainment,S-Neo,,0.19,,,0.18,0.01,,8.0,,80
10775,Stronghold 3,2011-10-25,PC,SouthPeak Interactive,FireFly Studios,,0.19,0.06,0.13,,,,4.1,,41
10791,Project X Zone 2,2016-02-16,3DS,Namco Bandai Games,Monolith Soft,,0.19,0.06,0.04,0.09,0.01,,6.6,,66
10795,Captain Toad: Treasure Tracker,2018-07-13,3DS,Nintendo,Nintendo EPD,,0.19,0.06,0.04,0.08,0.01,,8.5,,85
10799,IL-2 Sturmovik: Birds of Prey,2009-09-08,PSP,505 Games,SME Dynamic Systems Limited,,0.19,0.08,0.07,,0.04,,6.4,,64
10803,Frogger's Adventures 2: The Lost Wand,2002-11-05,GBA,Konami,Konami,,0.19,0.14,0.05,,0.0,,8.0,,80
10805,Ice Age: Dawn of the Dinosaurs,2009-06-30,PS3,Activision,Eurocom Entertainment Software,,0.19,0.13,0.04,,0.02,6.9,6.6,,66
10807,AeroFighters Assault,1997-10-30,N64,Victory Lap Games,Paradigm Entertainment,,0.19,0.15,0.04,,0.0,,5.4,,54
10810,Dragon Ball Z: Attack of the Saiyans,2009-11-10,DS,Namco Bandai,Monolith Soft,0.19,0.19,,,,,6.5,7.2,,72
10811,Hexen,1997-05-31,N64,GT Interactive,Software Creations,,0.19,0.15,0.04,,0.0,,4.4,,44
10813,Mace: The Dark Age,1997-10-01,N64,Midway Games,Atari,,0.19,0.15,0.04,,0.0,,7.1,,71
10818,Valkyrie Profile: Lenneth,2006-07-18,PSP,Square Enix,tri-Ace,0.19,0.19,,,,,,8.1,,81
10821,Teenage Mutant Ninja Turtles 2: Battle Nexus,2004-10-19,GC,Konami,Konami,,0.19,0.15,0.04,,0.01,,5.0,,50
10830,50 Cent: Blood on the Sand,2009-02-24,PS3,THQ,Swordfish Studios,,0.19,0.1,0.06,0.01,0.03,,7.2,,72
10838,Lunar Legend,2002-12-08,GBA,Ubisoft,Magic Rings,,0.19,0.14,0.05,,0.0,,7.7,,77
10840,Death Jr.,2005-08-16,PSP,Konami,Backbone Entertainment,,0.19,0.17,0.0,,0.01,,5.9,,59
10845,Hulk,2003-05-27,GC,Universal Interactive,Radical Entertainment,,0.19,0.15,0.04,,0.01,,7.3,,73
10856,Street Fighter 30th Anniversary Collection,2018-05-29,NS,Capcom,Capcom,,0.19,0.12,0.04,0.01,0.02,,8.5,,85
10857,The Legend of Spyro: A New Beginning,2006-10-10,GC,Sierra Entertainment,Krome Studios,,0.19,0.15,0.04,,0.01,,6.5,,65
10860,Armored Core: For Answer,2008-09-16,PS3,Ubisoft,From Software,,0.19,0.06,0.02,0.1,0.01,6.8,6.1,,61
10862,Conflict: Denied Ops,2008-02-12,PS3,Eidos Interactive,Pivotal Games,,0.19,0.05,0.1,,0.03,,5.2,,52
10867,Shining Force II,1994-10-19,GEN,Sega,Camelot Software Planning,,0.19,,,0.19,,,9.0,,90
10873,Driver: San Francisco,2011-09-27,PC,Ubisoft,Ubisoft Reflections,,0.19,0.06,0.1,,0.03,,8.3,,83
10882,Risen,2010-02-23,X360,Deep Silver,Piranha Bytes,,0.19,0.07,0.11,,0.01,,5.9,,59
10886,Daigasso! Band Brothers,2004-12-02,DS,Nintendo,Nintendo R&D2,,0.19,,,0.19,,,8.0,,80
10891,Nostalgia,2009-10-27,DS,Ignition Entertainment,Matrix Software / RED Entertainment,,0.19,0.16,,0.02,0.01,8.2,7.2,,72
10892,Dynasty Warriors Gundam,2007-08-28,X360,Namco Bandai,Omega Force,,0.19,0.15,0.01,0.02,0.01,,6.0,,60
10898,Major League Baseball 2K10,2010-03-02,PS3,2K Sports,Visual Concepts,,0.19,0.17,,,0.02,,7.2,,72
10902,Tekken Tag Tournament 2,2012-11-18,WiiU,Namco Bandai Games,Bandai Namco Games,,0.19,0.09,0.07,0.01,0.01,,8.1,,81
10903,The Ball,2011-01-18,PC,Tripwire Interactive,Teotl Studios,0.19,0.19,,,,,,6.3,,63
10917,Bubsy 3D,1996-11-26,PS,Accolade,Eidetic,,0.19,0.1,0.07,,0.01,,5.8,,58
10920,Earth Defense Force: Insect Armageddon,2011-07-05,X360,D3 Publisher,Vicious Cycle,,0.19,0.1,0.04,0.03,0.01,,6.7,,67
10922,Hydrophobia: Prophecy,2011-05-09,PC,Dark Energy Digital,Dark Energy Digital,0.19,0.19,,,,,,5.5,,55
10928,R-Type Final,2004-02-03,PS2,Eidos Interactive,Irem Software Engineering,,0.19,0.09,0.07,,0.02,,8.1,,81
10932,Jackie Chan Adventures: Legend of the Dark Hand,2001-11-06,GBA,Activision,Torus Games,,0.19,0.13,0.05,,0.0,,7.8,,78
10934,Shadows of the Damned,2011-06-21,X360,Electronic Arts,Grasshopper Manufacture,,0.19,0.1,0.06,0.01,0.02,,7.6,,76
10936,Ty the Tasmanian Tiger 3: Night of the Quinkan,2005-10-12,PS2,Activision,Krome Studios,,0.19,0.09,0.07,,0.02,,6.3,,63
10940,Saw II: Flesh & Blood,2010-10-19,PS3,Konami,Zombie Studios,,0.19,0.1,0.06,,0.02,,4.2,,42
10941,Need for Speed: Shift 2 Unleashed,2011-03-29,PC,Electronic Arts,Slightly Mad Studios,,0.19,0.05,0.11,,0.03,,8.6,,86
10953,Tiger Woods PGA Tour 07,2006-10-10,XB,EA Sports,EA Redwood Shores,,0.19,0.13,0.05,,0.01,,7.9,,79
10960,F1 2017,2017-08-25,XOne,Deep Silver,Codemasters,,0.19,0.04,0.13,,0.01,,9.0,,90
10963,Phantasy Star Online Ver. 2,2001-09-24,DC,Sega,Sonic Team,,0.19,,,0.19,0.0,,8.3,,83
10965,Ninja Gaiden 3: Razor's Edge,2012-11-18,WiiU,Nintendo,Team Ninja,,0.19,0.14,0.03,,0.02,,6.5,,65
10966,Samurai Warriors: State of War,2006-03-07,PSP,KOEI,Omega Force,,0.19,0.07,0.0,0.11,0.01,,6.5,,65
10972,Arcania: Gothic 4,2010-10-19,PC,JoWood Productions,Spellbound Entertainment AG,,0.18,0.09,0.08,,0.02,,5.8,,58
10973,The Munchables,2009-05-26,Wii,Namco Bandai,Namco Bandai Games,,0.18,0.17,0.0,0.0,0.01,,8.0,,80
10982,.hack//Quarantine Part 4: The Final Chapter,2004-01-14,PS2,Bandai,CyberConnect2,,0.18,0.09,0.07,,0.02,,6.8,,68
10983,F1 2011,2011-09-19,PC,Codemasters,Codemasters Birmingham,,0.18,,0.15,,0.04,,8.1,,81
10993,PlayStation Move Heroes,2011-03-22,PS3,Sony Computer Entertainment,Nihilistic Software,,0.18,0.09,0.06,,0.03,,4.8,,48
10994,Ty the Tasmanian Tiger,2002-09-10,XB,Electronic Arts,Krome Studios,,0.18,0.14,0.04,,0.01,,7.0,,70
10998,Dead or Alive,1997-10-09,SAT,Tecmo,Team Ninja,,0.18,,,0.18,0.0,,7.9,,79
11004,Disgaea DS,2008-09-23,DS,NIS America,Nippon Ichi Software,,0.18,0.11,0.01,0.05,0.01,,8.0,,80
11005,NARC,2005-03-22,XB,Midway Games,Point of View,,0.18,0.14,0.04,,0.01,,5.5,,55
11012,Ar tonelico 2: Melody of Metafalica,2009-01-20,PS2,NIS America,Gust,,0.18,0.04,0.03,0.11,0.01,7.3,7.2,,72
11014,Jurassic Park III: Island Attack,2001-11-26,GBA,Konami,Konami,,0.18,0.13,0.05,,0.0,,4.9,,49
11017,Star Trek: Legacy,2006-12-14,X360,Bethesda Softworks,Mad Doc Software,,0.18,0.14,0.02,,0.01,,6.4,,64
11030,Mushroom Men: The Spore Wars,2008-12-02,Wii,SouthPeak Interactive,Red Fly Studio,,0.18,0.16,0.01,,0.01,,7.3,,73
11037,Atari Anniversary Advance,2002-03-25,GBA,Atari,Digital Eclipse,,0.18,0.13,0.05,,0.0,,7.7,,77
11040,Alone In The Dark,2008-06-23,Wii,Atari,Hydravision Entertainment,,0.18,0.09,0.08,,0.02,4.0,3.1,,31
11044,Peggle Nights,2008-09-16,PC,PopCap Games,PopCap Games,0.18,0.18,,,,,,7.8,,78
11049,Bloody Roar: Primal Fury,2002-03-18,GC,Activision,Eighting / Raizing,,0.18,0.14,0.04,,0.0,,7.9,,79
11051,You Don't Know Jack,2011-02-08,PS3,THQ,"Jellyvision, Inc.",,0.18,0.16,,,0.02,9.0,8.2,,82
11053,Call of Juarez,2007-06-07,X360,Ubisoft,Techland,,0.18,0.14,0.02,0.0,0.01,,6.9,,69
11054,Backbreaker,2010-06-01,X360,505 Games,NaturalMotion Games,,0.18,0.17,,,0.01,,5.2,,52
11056,The Elder Scrolls IV: Shivering Isles,2007-10-16,X360,Bethesda Softworks,Bethesda Softworks,,0.18,0.17,,,0.01,,8.9,,89
11057,Resident Evil: Revelations,2017-08-29,PS4,Capcom,Capcom,,0.18,0.06,0.06,0.04,0.02,,7.2,,72
11058,FIFA 07 Soccer,2006-10-03,GC,EA Sports,EA Canada,,0.18,0.14,0.04,,0.0,,8.3,7.6,83
11061,Call of Duty: World at War,2008-11-10,PC,Activision,Treyarch,,0.18,0.02,0.14,,0.02,,8.6,,86
11064,Might & Magic: Clash of Heroes,2009-12-01,DS,Ubisoft,Capybara Games,,0.18,0.15,0.02,,0.01,,8.6,,86
11076,de Blob 2,2011-02-22,Wii,THQ,Blue Tongue,,0.18,0.11,0.06,,0.02,,8.1,,81
11088,The Chronicles of Narnia: Prince Caspian,2008-05-15,X360,Disney Interactive Studios,Traveller's Tales,,0.18,0.16,0.01,,0.01,,6.3,,63
11100,Musashi: Samurai Legend,2005-03-15,PS2,Square Enix,Square Enix,0.18,0.18,,,,,,6.9,,69
11104,Sanctum,2011-04-15,PC,Coffee Stain Publishing,Coffee Stain Studios,0.18,0.18,,,,,,7.3,,73
11106,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,2009-05-12,PS2,Atlus,Atlus Co.,0.18,0.18,,,,,8.5,8.0,,80
11109,Metal Gear Ac!d 2,2006-03-21,PSP,Konami,Kojima Productions,,0.18,0.11,0.01,0.05,0.01,,8.3,,83
11111,Pure Futbol,2010-06-01,X360,Ubisoft,Ubisoft Vancouver,,0.18,0.08,0.08,,0.02,,3.8,,38
11116,Shadow The Hedgehog,2005-11-15,XB,Sega,Sonic Team,,0.18,0.13,0.04,,0.01,,5.0,,50
11122,SoulCalibur Legends,2007-11-20,Wii,Namco Bandai,Project Soul,,0.18,0.16,0.01,,0.01,,4.8,,48
11124,Batman: Vengeance,2001-10-30,GBA,Ubisoft,Ubisoft,,0.18,0.13,0.05,,0.0,,6.2,,62
11126,Trinity Universe,2010-06-29,PS3,NIS America,Nippon Ichi Software / Gust,,0.18,0.07,0.06,0.03,0.02,6.0,6.2,,62
11129,Spider-Man: Friend or Foe,2007-10-02,PSP,Activision,Artificial Mind and Movement,,0.18,0.16,0.0,,0.01,,5.0,,50
11135,Gun,2005-11-08,GC,Activision,Neversoft Entertainment,,0.18,0.14,0.04,,0.0,,7.9,,79
11139,How to Train Your Dragon,2010-03-23,PS3,Activision,Etranges Libellules,,0.18,0.12,0.03,,0.02,,4.6,,46
11158,Brink,2011-05-10,PC,Bethesda Softworks,Splash Damage,,0.18,0.06,0.09,,0.03,,7.0,,70
11159,Burnout Legends,2005-11-29,DS,Electronic Arts,Visual Impact,,0.18,0.15,0.02,,0.01,,3.8,,38
11163,Otomedius Excellent,2011-11-01,X360,Konami,Konami,,0.18,0.13,,0.04,0.01,5.9,7.0,,70
11174,Brunswick Circuit Pro Bowling,1998-09-30,PS,THQ,Adrenalin Entertainment,,0.18,0.1,0.07,,0.01,,8.2,,82
11176,Naruto Shippuden: Dragon Blade Chronicles,2010-11-16,Wii,Atlus,8ing/Raizing,,0.18,0.11,0.02,0.05,0.01,4.0,4.3,,43
11180,MindJack,2011-01-18,PS3,Square Enix,FeelPlus,,0.18,0.07,0.08,,0.03,3.8,4.6,,46
11186,Charlie and the Chocolate Factory,2005-07-11,GC,Global Star Software,High Voltage Software,,0.18,0.14,0.04,,0.0,,3.9,,39
11188,College Hoops 2K7,2007-03-13,PS3,2K Sports,Visual Concepts,,0.18,0.16,,,0.01,,8.2,,82
11190,Full Auto 2: Battlelines,2006-12-07,PS3,Sega,Pseudo Interactive,,0.18,0.14,0.02,,0.02,,6.7,,67
11192,All Grown Up! Express Yourself,2004-10-19,GBA,THQ,Altron,,0.18,0.13,0.05,,0.0,,3.7,,37
11204,FIFA Soccer 11,2010-09-28,PC,EA Sports,HB Studios,,0.18,,0.15,,0.03,,8.4,,84
11209,Gish,2004-09-17,PC,GarageGames,Chronic Logic,0.18,0.18,,,,,,8.2,,82
11216,Dynasty Warriors: Gundam 3,2011-06-28,X360,Tecmo Koei,Omega Force,,0.18,0.11,0.03,0.02,0.01,7.5,6.5,,65
11220,ESPN X Games Skateboarding,2001-09-12,GBA,Konami,Konami Computer Entertainment Hawaii,,0.18,0.13,0.05,,0.0,,5.7,,57
11224,Velvet Assassin,2009-04-30,X360,SouthPeak Interactive,Replay Studios,,0.18,0.14,0.02,0.01,0.01,3.2,5.3,,53
11229,Backyard Basketball,2004-09-22,GBA,Atari,Mistic Software,,0.18,0.13,0.05,,0.0,,6.0,,60
11247,Borderlands,2009-10-20,PC,2K Games,Gearbox Software,,0.17,0.01,0.14,,0.03,,8.3,,83
11253,Medieval II: Total War Kingdoms,2007-08-28,PC,Sega,The Creative Assembly,0.17,0.17,,,,,,8.2,,82
11265,Open Season,2006-09-19,GC,Ubisoft,Ubisoft Montreal,,0.17,0.13,0.03,,0.0,,6.4,,64
11279,Major League Baseball 2K6,2006-06-12,GC,2K Sports,Kush Games,,0.17,0.13,0.03,,0.0,,6.2,,62
11284,The Grim Adventures of Billy & Mandy,2006-09-25,GC,Midway Games,High Voltage Software,,0.17,0.13,0.03,,0.0,,7.2,,72
11294,Trauma Team,2010-05-18,Wii,Atlus,Atlus Co.,,0.17,0.14,,0.02,0.01,7.3,8.1,,81
11297,The Hobbit,2003-11-11,GC,Sierra Entertainment,Midway Studios - Austin,,0.17,0.13,0.03,,0.0,,5.0,,50
11302,True Crime: New York City,2005-11-15,GC,Activision,EXAKT Entertainment,,0.17,0.13,0.03,,0.0,,6.4,,64
11304,X-Men: The Official Game,2006-05-16,X360,Activision,"Z-Axis, Ltd.",,0.17,0.16,0.0,,0.01,,4.9,,49
11307,Iron Chef America: Supreme Cuisine,2008-11-25,Wii,Destineer,Black Lantern Studios,,0.17,0.16,,,0.01,,2.0,,20
11311,ESPN Final Round Golf 2002,2001-08-28,GBA,Konami,Konami Computer Entertainment Nagoya,,0.17,0.12,0.05,,0.0,,6.0,,60
11314,Katamari Damacy Reroll,2018-12-07,NS,Bandai Namco Entertainment,Bandai Namco Games,,0.17,0.14,,0.02,0.02,,8.8,,88
11324,Let's TAP,2009-06-16,Wii,Sega,PROPE,,0.17,0.08,0.06,0.01,0.02,,7.0,,70
11330,Goblin Commander: Unleash the Horde,2003-11-11,PS2,Jaleco,Jaleco Entertainment,,0.17,0.08,0.07,,0.02,,7.4,,74
11334,Pursuit Force: Extreme Justice,2008-01-29,PSP,Sony Computer Entertainment,Bigbig Studios,,0.17,0.07,0.07,,0.03,,7.4,,74
11343,Transformers: Dark of the Moon,2011-06-14,Wii,Activision,Behaviour Interactive Inc.,,0.17,0.09,0.06,,0.02,,3.0,,30
11348,.hack//G.U. Vol.3//Redemption,2007-09-10,PS2,Namco Bandai,CyberConnect2,,0.17,,,0.17,,,5.7,,57
11356,Captain America: Super Soldier,2011-07-19,X360,Sega,Next Level Games,,0.17,0.11,0.05,,0.01,5.5,5.9,,59
